date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-06-04,"Email with Stranger, Undergraduate Student, Northwestern University",Not quite understand that the ketch I created can be moved to somewhere else instead of the location I am here now at the first time.,Would be nice to have guideline for how this app works to create a ketch at the first time.,Customer Interview,,College students; Design simple interface
2015-06-04,"Email with Stranger, Undergraduate Student, Northwestern University","All of the dots look the same, would be better to have different icons instead of just dots with names on the map so that it would be easy to know what are those dots without click on each dots to check",Would like to have different icons for different kinds of event,Customer Interview,,College students
2015-06-05,"In Person Meeting with Stranger, Undergraduate Student, Northwestern University",Can invite friends easily even though some friends haven't had this app within the add friends feature.,Easy to invite friends to use this app.,Customer Interview,,College students; Gain large foothold in existing student groups
2015-06-05,"In Person Meeting with Stranger, Undergraduate Student, Northwestern University",Grouping feature is convenient for inviting many friends for big events,Like the grouping feature,Customer Interview,,College students
2015-06-08,"In Person Meeting with Wesly, Student, Northwestern","Feels that sometimes when creating 30-min event, the app disappears in 5 minute or displays wrong time","​Feels that sometimes when creating 30-min event, the app disappears in 5 minute or displays wrong time",Customer Interview,,College students; Design simple interface
2015-06-02,"In Person Meeting with Christina, Student, Northwestern","Does not like the GPS, the pin always drops the dot on the wrong location (not where they are) and at first they didn't know they were suppose to move the dotWant to get more nudges",Desire of getting nudges,Customer Interview,,College students; App Store
2015-06-08,"In Person Meeting with Shelly, Student, Northwestern","Confused on getting updates about the appLove the nudge feature

Want more interaction",Love the nudge feature and want more interaction,Customer Interview,,College students; App Store
2015-05-29,"In Person Meeting with Stella, Student, Northwestern",Not enough users on the app.especially useful in the afternoon time frame,Useful for afternoon time frame,Customer Interview,,App Store
2015-06-08,App Store,,,Business Model Hypothesis,Channels,
2015-06-02,Ketch Presentation 06/02/2015,,,Team Presentation,,
2015-05-18,Young Professionals,,,Business Model Hypothesis,Customer Segments,
2015-05-12,White labeling for events,,,Business Model Hypothesis,Revenue Streams,
